aka_________::01949b70cc1332e4408f2c1d10a21256,,Words and Automata,Academy of Finland,::::257857,,,,false,,2012-09-01,2016-08-31,2012,2016,47,yes,21,639,8,Academy project LT,257857,0.0,500000.0,EUR
aka_________::0b1ac71c46447173a4817afd706369ad,,LEAD Future learning skills:  Longitudinal study of development in a global context,Academy of Finland,::::273872,,,,false,,2014-01-01,2018-12-31,2014,2018,59,yes,14,1,1,"TULOS 2013, second stage KY",273872,0.0,616132.0,EUR
aka_________::2c7e74984c9188a108b6f39d9853fdc2,,Complete and accurate reconstruction of biological sequences,Academy of Finland,::::314170,,,,false,,2017-09-01,2020-08-31,2017,2020,35,yes,9,700,4,"Academy Research Fellows: initial funding for research costs, invited applicants only LT",314170,0.0,209999.0,EUR
aka_________::72c95a0f00e58d88eb4f6ea33cbeb511,,The interactions between trees and ground vegetation for organic nitrogen uptake via ericoid and ectomycorrhizal fungi (NITROFUNGI),Academy of Finland,::::263858,,,,false,,2012-09-01,2015-08-31,2012,2015,35,yes,20,1523,18,research costs (full cost model): Academy Research Fellows appointed after 1.4.2010 BY,263858,0.0,478535.0,EUR
aka_________::8e6fe8f267d3b31fe2e5b5da1787a120,,Combined approach to understand biological lipid-protein interfaces,Academy of Finland,::::315596,,,,false,,2018-09-01,2023-08-31,2018,2023,59,yes,10,0,0,Academy Research Fellow BY,315596,0.0,438874.0,EUR
anr_________::0423c00825eb4a7456279f8853cfaa24,BREAKRISK,Break Risk,French National Research Agency (ANR),::::ANR-17-CE26-0001,,,,false,,,,,,,yes,12,0,0,,ANR-17-CE26-0001,0.0,324381.0,EUR
anr_________::42bd98a2f1874e8226f00769a98b55cc,ISOTACE,"Interacting Systems and Optimal Transportation, Applications to Computational Economics.",French National Research Agency (ANR),::::ANR-12-MONU-0013,,,,false,,,,,,,yes,56,0,0,,ANR-12-MONU-0013,0.0,620861.0,EUR
anr_________::501b4910426f9963a6662d2d8a407492,IRON,Radiopharmaceutiques Innovants en Oncologie et Neurologie,French National Research Agency (ANR),::::ANR-11-LABX-0018,,,,false,,,,,,,yes,114,0,0,,ANR-11-LABX-0018,0.0,3638620.0,EUR
anr_________::52af7cbc731724f82db1b395e2d53e05,AKER,Innover pour une filière française durable : réinvestir la diversité allélique de la betterave par l,French National Research Agency (ANR),::::ANR-11-BTBR-0007,,,,false,,,,,,,yes,15,0,0,,ANR-11-BTBR-0007,0.0,5000000.0,EUR
anr_________::5c0c090c3f174ac50168ee4a1858650d,DeKaloG,Decentralized Knowledge Graphs,French National Research Agency (ANR),::::ANR-19-CE23-0014,,,,false,,,,,,,yes,1,0,0,,ANR-19-CE23-0014,0.0,652617.0,EUR
